Region,Unit,County 
CPHP,CPHP (District),CPHP
East,Unit 12,Livingston
East,Unit 12,McLean
East,Unit 12,Woodford
East,Unit 13,Champaign
East,Unit 13,Ford
East,Unit 13,Iroquois
East,Unit 13,Vermilion
East,Unit 17,De Witt
East,Unit 17,Macon
East,Unit 17,Piatt
East,Unit 19,Coles
East,Unit 19,Cumberland
East,Unit 19,Douglas
East,Unit 19,Moultrie
East,Unit 19,Shelby
East,Unit 20,Clark
East,Unit 20,Crawford
East,Unit 20,Edgar
East,Unit 21,Clay
East,Unit 21,Effingham
East,Unit 21,Fayette
East,Unit 21,Jasper
Northeast,Unit 3,Lake
Northeast,Unit 3,McHenry
Northeast,Unit 5,DuPage
Northeast,Unit 5,Kane
Northeast,Unit 5,Kendall
Northeast,Unit 6,Cook
Northeast,Unit 9,Grundy
Northeast,Unit 9,Kankakee
Northeast,Unit 9,Will
Northwest,Unit 1,Jo Daviess
Northwest,Unit 1,Stephenson
Northwest,Unit 1,Winnebago
Northwest,Unit 2,Boone
Northwest,Unit 2,DeKalb
Northwest,Unit 2,Ogle
Northwest,Unit 4,Carroll
Northwest,Unit 4,Lee
Northwest,Unit 4,Whiteside
Northwest,Unit 7,Henry
Northwest,Unit 7,Mercer
Northwest,Unit 7,Rock Island
Northwest,Unit 7,Stark
Northwest,Unit 8,Bureau
Northwest,Unit 8,LaSalle
Northwest,Unit 8,La Salle
Northwest,Unit 8,Marshall
Northwest,Unit 8,Putnam
South,Unit 22,Madison
South,Unit 22,Monroe
South,Unit 22,St. Clair
South,Unit 22,Saint Clair
South,Unit 23,Bond
South,Unit 23,Clinton
South,Unit 23,Jefferson
South,Unit 23,Marion
South,Unit 23,Washington
South,Unit 24,Gallatin
South,Unit 24,Hamilton
South,Unit 24,Hardin
South,Unit 24,Pope
South,Unit 24,Saline
South,Unit 24,White
South,Unit 25,Edwards
South,Unit 25,Lawrence
South,Unit 25,Richland
South,Unit 25,Wabash
South,Unit 25,Wayne
South,Unit 26,Franklin
South,Unit 26,Jackson
South,Unit 26,Perry
South,Unit 26,Randolph
South,Unit 26,Williamson
South,Unit 27,Alexander
South,Unit 27,Johnson
South,Unit 27,Massac
South,Unit 27,Pulaski
South,Unit 27,Union
West,Unit 10,Henderson
West,Unit 10,Knox
West,Unit 10,McDonough
West,Unit 10,Warren
West,Unit 11,Fulton
West,Unit 11,Mason
West,Unit 11,Peoria
West,Unit 11,Tazewell
West,Unit 14,Adams
West,Unit 14,Brown
West,Unit 14,Hancock
West,Unit 14,Pike
West,Unit 14,Schuyler
West,Unit 15,Calhoun
West,Unit 15,Cass
West,Unit 15,Greene
West,Unit 15,Morgan
West,Unit 15,Scott
West,Unit 16,Logan
West,Unit 16,Menard
West,Unit 16,Sangamon
West,Unit 18,Christian
West,Unit 18,Jersey
West,Unit 18,Macoupin
West,Unit 18,Montgomery
